
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-19 00:41:57 /api/public/pengumuman ............................................................... ~ 0.20ms
  2026-06-19 00:57:02 /api/public/pengumuman ............................................................... ~ 0.95ms
  2026-06-19 00:57:02 /api/public/pengumuman ............................................................. ~ 515.82ms
  2026-06-19 00:58:38 /api/public/pengumuman ............................................................... ~ 1.32ms
  2026-06-19 00:58:39 /api/public/pengumuman ............................................................. ~ 502.18ms
  2026-06-19 01:00:58 /api/public/pengumuman ............................................................. ~ 504.41ms
  2026-06-19 01:00:58 /api/public/pengumuman ............................................................. ~ 511.80ms
  2026-06-19 01:01:29 /api/login ......................................................................... ~ 502.77ms
  2026-06-19 01:01:30 /api/login ......................................................................... ~ 501.97ms
  2026-06-19 01:01:32 /api/audit-logs ...................................................................... ~ 1.29ms
  2026-06-19 01:01:32 /api/dashboard ..................................................................... ~ 516.27ms
  2026-06-19 01:01:32 /api/audit-logs .................................................................... ~ 518.80ms
  2026-06-19 01:01:32 /api/dashboard ........................................................................... ~ 1s
  2026-06-19 01:01:33 /api/audit-logs .................................................................... ~ 519.58ms
  2026-06-19 01:01:33 /api/dashboard ..................................................................... ~ 517.44ms
  2026-06-19 01:01:33 /api/audit-logs .......................................................................... ~ 1s
  2026-06-19 01:01:33 /api/dashboard ..................................................................... ~ 515.73ms
  2026-06-19 01:01:36 /api/profil-sekolah ................................................................ ~ 516.00ms
  2026-06-19 01:01:36 /api/profil-sekolah .................................................................. ~ 0.27ms
  2026-06-19 01:01:36 /api/profil-sekolah ................................................................ ~ 512.22ms
  2026-06-19 01:01:36 /api/profil-sekolah .................................................................. ~ 0.10ms
  2026-06-19 01:01:38 /api/tahun-ajaran .................................................................... ~ 1.25ms
  2026-06-19 01:01:38 /api/tahun-ajaran .................................................................. ~ 505.58ms
  2026-06-19 01:01:38 /api/tahun-ajaran ........................................................................ ~ 1s
  2026-06-19 01:01:39 /api/tahun-ajaran .................................................................... ~ 0.15ms
  2026-06-19 01:01:40 /api/pengumuman .................................................................... ~ 504.79ms
  2026-06-19 01:01:40 /api/pengumuman ...................................................................... ~ 0.36ms
  2026-06-19 01:01:40 /api/pengumuman .................................................................... ~ 514.89ms
  2026-06-19 01:01:41 /api/pengumuman .................................................................... ~ 512.94ms
  2026-06-19 01:01:42 /api/profil-sekolah ................................................................ ~ 503.54ms
  2026-06-19 01:01:42 /api/profil-sekolah .................................................................. ~ 0.37ms
  2026-06-19 01:01:42 /api/profil-sekolah ................................................................ ~ 518.28ms
  2026-06-19 01:01:43 /api/profil-sekolah .................................................................. ~ 0.23ms
  2026-06-19 01:01:44 /api/audit-logs ...................................................................... ~ 1.73ms
  2026-06-19 01:01:44 /api/dashboard ....................................................................... ~ 3.91ms
  2026-06-19 01:01:44 /api/audit-logs .................................................................... ~ 512.20ms
  2026-06-19 01:01:44 /api/dashboard ..................................................................... ~ 514.89ms
  2026-06-19 01:01:45 /api/audit-logs .................................................................... ~ 515.53ms
  2026-06-19 01:01:45 /api/dashboard ..................................................................... ~ 514.58ms
  2026-06-19 01:01:45 /api/audit-logs .................................................................... ~ 516.40ms
  2026-06-19 01:01:46 /api/dashboard ........................................................................... ~ 1s
  2026-06-19 01:01:47 /api/akun ............................................................................ ~ 1.08ms
  2026-06-19 01:01:47 /api/akun .......................................................................... ~ 516.74ms
  2026-06-19 01:01:48 /api/admin/ppdb ...................................................................... ~ 2.26ms
  2026-06-19 01:01:48 /api/admin/ppdb ...................................................................... ~ 4.88ms
  2026-06-19 01:01:48 /api/admin/ppdb/stats ................................................................ ~ 6.45ms
  2026-06-19 01:01:48 /api/admin/ppdb/stats .............................................................. ~ 517.05ms
  2026-06-19 01:01:48 /api/admin/ppdb .................................................................... ~ 515.10ms
  2026-06-19 01:01:48 /api/admin/ppdb/stats .............................................................. ~ 516.66ms
  2026-06-19 01:01:48 /api/admin/ppdb .......................................................................... ~ 1s
  2026-06-19 01:01:49 /api/admin/ppdb/stats .............................................................. ~ 505.19ms
  2026-06-19 01:52:47 /api/auth/me ....................................................................... ~ 506.11ms
  2026-06-19 01:52:47 /api/auth/me ....................................................................... ~ 508.89ms
  2026-06-19 01:52:48 /api/auth/me ....................................................................... ~ 514.31ms
  2026-06-19 01:52:48 /api/auth/me ....................................................................... ~ 511.14ms
  2026-06-19 01:52:49 /api/murid ........................................................................... ~ 1.34ms
  2026-06-19 01:52:49 /api/murid ......................................................................... ~ 514.50ms
  2026-06-19 01:52:49 /api/murid ......................................................................... ~ 513.76ms
  2026-06-19 01:52:50 /api/murid ......................................................................... ~ 511.24ms
  2026-06-19 01:52:53 /api/audit-logs ...................................................................... ~ 1.28ms
  2026-06-19 01:52:53 /api/dashboard ..................................................................... ~ 516.79ms
  2026-06-19 01:52:53 /api/audit-logs .................................................................... ~ 519.77ms
  2026-06-19 01:52:53 /api/dashboard ..................................................................... ~ 515.14ms
  2026-06-19 01:52:54 /api/audit-logs .................................................................... ~ 515.86ms
  2026-06-19 01:52:54 /api/dashboard ..................................................................... ~ 517.12ms
  2026-06-19 01:52:54 /api/profil-sekolah ................................................................ ~ 517.26ms
  2026-06-19 01:52:54 /api/profil-sekolah ................................................................ ~ 517.80ms
  2026-06-19 01:52:55 /api/audit-logs .................................................................... ~ 517.73ms
  2026-06-19 01:52:55 /api/dashboard ..................................................................... ~ 513.75ms
  2026-06-19 01:52:55 /api/profil-sekolah ...................................................................... ~ 1s
  2026-06-19 01:52:56 /api/tahun-ajaran .................................................................. ~ 517.45ms
  2026-06-19 01:52:56 /api/tahun-ajaran .................................................................... ~ 2.33ms
  2026-06-19 01:52:56 /api/profil-sekolah ................................................................ ~ 514.51ms
  2026-06-19 01:52:56 /api/tahun-ajaran ........................................................................ ~ 1s
  2026-06-19 01:52:57 /api/tahun-ajaran .................................................................... ~ 0.08ms
  2026-06-19 07:33:48 /api/tahun-ajaran .................................................................. ~ 502.75ms
  2026-06-19 07:33:49 /api/tahun-ajaran .................................................................... ~ 0.30ms
  2026-06-19 07:33:49 /api/tahun-ajaran .................................................................. ~ 520.12ms
  2026-06-19 07:33:49 /api/tahun-ajaran .................................................................. ~ 513.34ms
  2026-06-19 08:31:04 /api/tahun-ajaran .................................................................. ~ 500.82ms
  2026-06-19 08:31:04 /api/tahun-ajaran .................................................................... ~ 0.13ms
  2026-06-19 08:31:04 /api/tahun-ajaran .................................................................. ~ 512.83ms
  2026-06-19 08:31:05 /api/tahun-ajaran ........................................................................ ~ 1s
